Campaign Name,Bucket,Income FY21,In-Kind Donations FY21,Volunteer Hours FY21,Expenses FY21,Income FY20,In-Kind Donations FY20,Volunteer Hours FY20,Expenses FY20
Sponsor a Scholar,1: Individual Giving,"$15,127.99",$0.00,30,$0.00,"$25,213.95",$0.00,75,$0.00
Sponsor a Scholar - Fund a Thon,1: Individual Giving,"$2,520.00",$0.00,coming soon,$0.00,"$3,610.00",$3.50,20,$0.00
Appeal - June,1: Individual Giving,"$5,526.00",$0.00,27,$210.06,"$2,095.00",$341.23,20,$0.00
Appeal - December,1: Individual Giving,coming soon,$0.00,coming soon,$0.00,"$9,637.11",$459.55,20,$224.92
Online appeal - Giving Tuesday,1: Individual Giving,coming soon,$0.00,coming soon,$0.00,"$8,544.94","$1,499.08",36,$25.50
Online event - Starfish Search,1: Individual Giving,coming soon,$0.00,coming soon,$0.00,"$1,268.00",$7.50,50,$302.00
Online event - Starfish Bracket Challenge,1: Individual Giving,coming soon,$0.00,5,$175.00,"$1,115.00",$230.00,30,$0.00
Lapsed Donors,1: Individual Giving,coming soon,$0.00,coming soon,$0.00,$400.00,$0.00,8,$0.00
Benefit dinner tickets,1: Individual Giving,"$4,817.12",$384.79,538,$583.33,"$4,010.00",$540.13,300,"$1,000.00"
Benefit dinner individual donations,1: Individual Giving,"$8,250.40",$0.00,0,$583.33,"$2,825.00",$0.00,0,"$1,000.00"
Benefit dinner auction,1: Individual Giving,"$9,808.13","$9,243.06",152,$803.34,"$11,491.00","$9,552.59",300,"$1,341.00"
Events - CT/NE,1: Individual Giving,coming soon,$0.00,coming soon,$0.00,$309.00,$22.00,10,$167.14
Events - not recurring,1: Individual Giving,$309.30,$0.00,0,$0.00,"$2,920.00","$3,578.27",60,$316.00
Events - Ecuador,1: Individual Giving,$0.00,$0.00,0,$0.00,"$1,213.60",$0.00,80,$24.14
Birthdays and weddings,1: Individual Giving,"$1,717.52",$0.00,3,$0.00,"$6,049.31",$0.00,3,$0.00
Unsolicited Gifts,1: Individual Giving,"$2,411.48",$0.00,3,$0.00,"$7,505.66",$0.00,3,$0.00
Benefit dinner sponsorships (5),2: Major Donors,"$50,000.00",$0.00,57,$0.00,"$87,500.00",$0.00,30,$0.00
University Efforts,2: Major Donors,coming soon,$0.00,1,$0.00,"$1,016.00",$0.00,1,$0.00
Other Major Donors,2: Major Donors,"$8,000.00",$0.00,0,$0.00,"$44,200.00",$0.00,0,$0.00
Grants,3: Grants,"$7,750.00",$0.00,6,$0.00,"$1,500.00",$0.00,1,$0.00
Benefit dinner sponsorships (1),4: Corporations,$520.56,$0.00,1,$0.00,$500.00,$0.00,1,$0.00
Matching donations (10),4: Corporations,"$3,348.26",$0.00,6,$0.00,"$1,769.19",$0.00,6,$0.00
Ecua vols/visitors,5: Earned Revenue,$0.00,$0.00,0,$0.00,"$5,487.46",$0.00,6,$25.00
Benefit dinner item sales,5: Earned Revenue,$601.06,$704.94,11,$0.00,"$1,183.00",$159.60,10,$0.00
Pura Vida sales,5: Earned Revenue,$10.00,$0.00,1,$0.00,$5.00,$0.00,1,$0.00
Dream Book sales,5: Earned Revenue,$0.00,$0.00,1,$0.00,$0.00,$0.00,10,$0.00
Popsocket sales,5: Earned Revenue,$20.00,$0.00,1,$0.00,$0.00,$0.00,1,$0.00
Photo sales,5: Earned Revenue,$0.00,$0.00,1,$0.00,$40.00,$0.00,10,$0.00
Mask sales,5: Earned Revenue,$410.75,,,,$0.00,$0.00,0,$0.00
Speaking events,5: Earned Revenue,$0.00,$0.00,0,$0.00,$414.00,$0.00,4,$0.00
Amazon Smile,5: Earned Revenue,$90.85,$0.00,1,$0.00,$192.33,$0.00,1,$0.00
CafePress,5: Earned Revenue,$0.00,$0.00,0,$0.00,$0.00,$0.00,0,$0.00
Goodshop,5: Earned Revenue,$0.00,$0.00,0,$0.00,$0.00,$0.00,0,$0.00
,,"$121,239.42","$10,332.79",,"$2,355.06","$232,014.55","$16,393.45",,"$4,425.70"
Thank-a-thon,No bucket,,$188.80,,,,68.76,,386.63
4th quarter press,No bucket,,,,,,,,
